text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack
you are a scumbag  i will rip your face off you piece of white trash . back to the trailer park .,0.96176314,0.92222476,0.9620172,0.40917686,0.91128254,0.274856,0.95855427,0.92215836
you can be sure some jew won't hesitate to cash in on it  selling pro and con . i hope a white nationalist cashes in on it first !,0.41665444,0.3998093,0.4310088,0.50265765,0.30709177,0.1612582,0.36508405,0.78127503
you got any of that rat jew robert spencer,0.74195385,0.6133199,0.80613285,0.34235287,0.69309914,0.1930519,0.26557434,0.8716499
you should call yourself jewish media pundit and american traitor propagandist . block us we need something new,0.5810591,0.61359465,0.6886164,0.37458515,0.5090385,0.15159853,0.49143875,0.8632592
you tryna sound formal but we all know your just some racist school shooting teenager with daddy issues who wanks to hitler photos .,0.7344555,0.6480242,0.80127835,0.44579282,0.6950207,0.8478105,0.7650712,0.68081164
you've proved my point . you are anti-white . please keep attacking innocent white people w,0.5851118,0.64085823,0.6167027,0.37754944,0.3312314,0.12704232,0.82693887,0.88989156
your people ? you mean basement-dwelling autists .,0.57027644,0.41216105,0.8475222,0.24050504,0.3040198,0.06070504,0.15435024,0.46402213
"""  """" white ppl have a right to x """" """" is a gay  ineffective talking point . no race got anywhere by begging for their """" """" rights """" """" to be respected """"""",0.5750231,0.48276198,0.7456933,0.28951204,0.40705675,0.41025218,0.12312583,0.88023937
""" that's b / c us mass media controlled by jews & aussie-brit murdoch family don't represent the  """" interests """" """" of american people """"""",0.2712817,0.3215646,0.37243,0.35127822,0.31128675,0.19289266,0.20298816,0.7437224
""" you are a fake and a phony organization . illegals make america better than you  """" legals """" """" . kill yourself . """"""",0.9107452,0.80814576,0.93877864,0.3334741,0.5090226,0.048505165,0.92843693,0.7447471
#hindurise will we wait till #diwali is banned & #navratri cancelled ? ? stupid hindus wake up before it is too late,0.6955873,0.68144125,0.8932583,0.40152705,0.8052676,0.17414674,0.49361598,0.8627783
2/2 for those who want an all-white  no-fag  no-jew  no-mudshark movement with an achievable objective  check out,0.56268007,0.68480235,0.75795895,0.4423857,0.75403744,0.4626214,0.49574065,0.89973027
: jews are now in full control : canadian man goes to jail for posting on white nationalist websites,0.42390585,0.40460512,0.4697989,0.42423424,0.33595473,0.13378856,0.5300718,0.8008965
: kill isis . kill mohammed . love america . love jesus .,0.8763571,0.6711737,0.3707364,0.45446768,0.5089882,0.056933265,0.92843693,0.7239925
: trump is the ultimate example of how to lead a movement right now & idiots like wallace don't,0.7007861,0.49478677,0.9297318,0.3502007,0.69294024,0.1436279,0.22811913,0.48054063
and how were the alt white peaceful when they attacked white leftist american citizens ?,0.41523102,0.33684212,0.3830335,0.46329102,0.20012829,0.12836379,0.6507011,0.7435873
better be ready to ban islam #demexit #dnc loves sharia law oppression of women killing women,0.6662635,0.617746,0.46004596,0.3277329,0.27040845,0.11400082,0.8813267,0.8561057
cernovich the jew who says white identity is bad ?,0.39284727,0.51153314,0.5671736,0.4063308,0.44021988,0.16791932,0.44244993,0.8535503
diversity is codeword for anti white . diversity equals death  jews wish to see you exterminated . what are you doing about it ? join,0.6809553,0.6847096,0.63649184,0.35567275,0.5175056,0.09253601,0.91312736,0.91978526
even the women are evil,0.5958905,0.39237118,0.68785954,0.17939632,0.3480706,0.06279187,0.1360595,0.9044259
he's the definition of white trash .,0.8393344,0.6499188,0.8840138,0.23109849,0.6124097,0.13573234,0.2262164,0.904667
hey  i agree . white genocide . jew driven . what was your thesis on child sacrifice ?,0.5026305,0.5243785,0.49777088,0.48868608,0.27774963,0.16925338,0.76186603,0.8182104
hitler ! gas all the americans !,0.8086813,0.8486256,0.6356477,0.32121766,0.43478978,0.12053365,0.9589291,0.9044079
i hate fat people .,0.9017833,0.6700777,0.80430734,0.1770102,0.69309914,0.11963573,0.26948765,0.9230609
jewish cuckservatives  you mean .,0.5958905,0.7639848,0.799677,0.48716837,0.8258916,0.6831233,0.38945866,0.92435974
jewish professor calls for white genocide  says white males should commit suicide | read more :,0.7007861,0.7917607,0.70199466,0.35518837,0.566168,0.14608093,0.8908898,0.9393792
jews are extremely sneaky ~ a crafty lot,0.5958905,0.47946787,0.48755303,0.3442931,0.3560201,0.1406508,0.24621311,0.75099254
jews are pathetic tragic people ~ trump's practicing-jew inlaw and grandchildren don't make them feel safe in us,0.83020335,0.66853064,0.84533465,0.28336367,0.6929518,0.14884497,0.12533735,0.9095023
juggalos are preferable to the alt lite,0.070516795,0.074794166,0.13892,0.22946613,0.120376185,0.06710036,0.10742858,0.17960979
koran licking retards !,0.91406596,0.84828466,0.92466134,0.41466162,0.91128254,0.7407407,0.3300217,0.92215836
let's hope this ( ( ( writer ) ) ) is correct ! jews should probably start packing up and heading for israel .,0.39010584,0.57481664,0.44144958,0.46547148,0.37067854,0.1577104,0.6061696,0.86257803
marxist socialism is supercapitalism via #withjewsyoulose,0.35336453,0.2503508,0.29069915,0.37178347,0.18834779,0.14723854,0.33037257,0.48553905
new black panther's white genocide project : ' if they are white  kill em all ' ( video ) via niggering,0.68288773,0.8416842,0.79128736,0.3866168,0.78012884,0.2171572,0.92843693,0.9399891
not even people of color  just elderly people you racist hypocritical moron .,0.9320454,0.81427854,0.97522783,0.21076751,0.8280046,0.094312415,0.13147087,0.9047819
refugees need to be sent back they are on a mission to kill us all,0.83020335,0.8324381,0.564911,0.19129406,0.6193176,0.06682939,0.9755639,0.90435123
swedish telecom advertises helping women cheat on their husbands with negroes #swrm #niggers via,0.74195385,0.8416842,0.88075686,0.50710523,0.8596086,0.6674943,0.46503505,0.94343525
the league doesn't believe in cucking and disavowing other pro-white groups over associations . we have our own identity and beliefs . the difference is that we are confident in our own values and see see the pointlessness of trying to appease the media,0.34388447,0.24246936,0.43719777,0.43374646,0.43179607,0.49764928,0.16196734,0.59933054
too many taft military rape arrangements . white race genocide plan to end all natural life 0 .,0.61826205,0.651763,0.5861547,0.49320978,0.5865643,0.7407407,0.82345974,0.8715486
was the driver a jew taking umbrage at the annual muslim ' kill all jews ' hate march through london e,0.56268007,0.7993592,0.62222433,0.29081208,0.59789497,0.13974151,0.91432226,0.9369482
"""  """" : kkk alive and well white brother hood unite ku klux klan """" """" what about sister hood """"""",0.44428605,0.15371795,0.17458849,0.55637383,0.113746926,0.22585422,0.38427883,0.2618798
""" fyi ... beauty of ur white race .. keep worshipping them ! !  """" : genocide """" """" """"""",0.6556601,0.6813568,0.64570194,0.6765494,0.50450426,0.31517103,0.7393605,0.86996645
""" rt these cucks would rather be raped with knives than to be called  """" racist . """" """" they deserve what they get . """"""",0.7969615,0.80814576,0.839833,0.63251805,0.87111634,0.92013866,0.91432226,0.8883673
""" same people funding  """" revolutionary abolitionist movement """" """" funding faggots like & . """"""",0.57027644,0.686687,0.895227,0.29932117,0.9101464,0.46848562,0.11944107,0.92455935
#freedom ? ? for whom ? ? if you read this you might qualify for the #concentrationcamps & #gaschambers ! #hate #racist #fascist #racehate,0.6710289,0.47937876,0.67324793,0.27611682,0.37566242,0.13781817,0.33896333,0.69742614
#jews making #georgeorwell's 1984 a reality . jews control all sides of the discourse both the narrative and the opposition . #thanksjews,0.21627559,0.17258367,0.21127793,0.34525877,0.14210983,0.07083819,0.1553803,0.58115774
: be brave and admit you a / zionist racist full of hate islam historicallywhat about your money collector,0.6887467,0.55804175,0.65387464,0.29068357,0.32449153,0.08186976,0.18961702,0.8625904
: new black panther negroes have started mobilization to burn white communities,0.73034537,0.7513351,0.72916424,0.48675814,0.69309914,0.32237688,0.82345974,0.91723907
: racist attacks on white dutch people by mobs of muslim immigrants continue ( video ),0.44670263,0.65372753,0.6356477,0.36827335,0.43477902,0.15396929,0.44147307,0.87578183
a handful of deranged  belligerent white trash lashing out at immigrants-pathetic-ignorant-low information - miserable .,0.88651687,0.6664415,0.942489,0.26998416,0.37684864,0.10124012,0.09684151,0.87846076
america was predicated on white nationalism . now it has degenerated becauae of jewish supremacism .,0.5363433,0.48548672,0.5823269,0.38863224,0.43179813,0.16709405,0.30944157,0.8631646
ban that pos plague called islam ! ! ! they are illegal here ! ! !,0.7816909,0.57249105,0.6900677,0.23466289,0.393182,0.059770748,0.2460964,0.92215836
being racist agsinst whites isnt racist,0.48794,0.5847385,0.6396672,0.34811306,0.4609328,0.18452902,0.23867452,0.8422688
between adopting niglets  welcoming mestizos and securing israel's borders  the #cuckservative has no time left for his own white race .,0.56268007,0.6762539,0.75890094,0.5018196,0.7536608,0.43020606,0.3591407,0.8624583
christian are worshipping a god that commanded people to kill gay and apostate ! ! be skeptic toward your bible folk ..,0.83020335,0.7639949,0.76405144,0.33334264,0.5157125,0.37417078,0.8908898,0.942174
cuckservatives : kevin williamson on trump  sanders  and national socialism via,0.40016344,0.28673035,0.3544658,0.36708102,0.5088868,0.2984205,0.25308186,0.29818317
cuckservatives : trump  tubmans  and trannyrestrooms,0.57816684,0.6697926,0.78955716,0.4347964,0.8052676,0.682792,0.42184418,0.8008965
dear #germans  vote for to save fatherland from barbarians and british occupation . swear in the name of fuhrer,0.3093897,0.21995704,0.35281384,0.2911348,0.19398627,0.06230168,0.11417501,0.53054494
filthy jews like always pretend to be white when they are attacking and slandering our race . #withjewswelose,0.8635976,0.8445049,0.88075686,0.4188388,0.82018745,0.21615262,0.75806737,0.95440066
finns protest against increasing number of non-white invaders | more : via,0.35642847,0.30115616,0.35522205,0.35969213,0.30925423,0.19290364,0.4851474,0.6600291
human being is a white termanimals ... are what is left when whites close their lips,0.5535644,0.38875285,0.6299259,0.5937915,0.3701067,0.348209,0.24553254,0.775537
i do however hate southern white racists like yourself and mr . wallace !,0.78524166,0.6513508,0.84330475,0.32043758,0.34960464,0.060469307,0.12492873,0.9047819
i'm having a problem with one niger named daryl in pahao hawaii tennessee white knights ... lets have a white out here ! ! !,0.6710289,0.474959,0.6356477,0.43581432,0.555106,0.27870244,0.29338703,0.78872293
if it's white it has to go ! ms . liberty's time will come.anti - racist is a code word for #antiwhite . #chasingdownwhites .,0.5363433,0.41334933,0.54836243,0.46630496,0.2382713,0.08480363,0.33655512,0.78204334
if three psycho moozlims can cause a bloodbath like this  what will happen if they launch another attack on america ? god protect the usa !,0.53430706,0.2849263,0.5291602,0.37002885,0.15122868,0.074473105,0.5700522,0.45125997
it's a sad day in america when women like are considered racist and shunned but a pro jihadist jew hater like is loved !,0.5031149,0.5375113,0.68946606,0.5872905,0.3670606,0.18887475,0.21638516,0.81279707
its not islamophobia when they really are trying to kill you,0.5363433,0.6182943,0.4316522,0.20496173,0.4361668,0.07947148,0.91432226,0.758848
jews responsible for all of worlds ills  says al-aqsa preacher via,0.6710289,0.36681417,0.3034937,0.262101,0.23131788,0.08184396,0.36682367,0.71927214
keep telling yourself that  cuck,0.54959583,0.6366972,0.8453147,0.3924828,0.876051,0.8443648,0.19087507,0.28848988
look at what this filthy  anti-white jew tim wise said . threatening trump supporters .,0.7663013,0.70506555,0.80613285,0.47091296,0.69309914,0.13558185,0.7592393,0.8947509
mim torse lottttttta ugly white people here . are you mad at the immigrants cuz they sexy,0.8546526,0.6575885,0.75861967,0.8981763,0.5893116,0.57854897,0.26371783,0.87814194
mr . taylor please stop telling people that jews are white . you are spreading a lie ! jews are a mixed race .,0.52368855,0.60354006,0.73121613,0.34405744,0.4787403,0.118755646,0.094856404,0.8921792
negroid spree shooter wanted to kill as many white people as possible : #wr via,0.8202001,0.75568765,0.7441381,0.24659896,0.693671,0.08203423,0.8809085,0.9192646
please subscribe and view my non profit white genocide jew lies playlist,0.7007861,0.62705237,0.6478413,0.46219462,0.47847924,0.17808859,0.7232417,0.8722565
send'em all to muslim countries for ' safe spaces ' . clinton's libya perhaps .,0.42631236,0.30462366,0.29808643,0.35900256,0.14951597,0.09266741,0.46492594,0.6871181
shut up  white trash,0.9728165,0.82828075,0.93234444,0.20663813,0.7572678,0.10473902,0.36248693,0.94837433
stupid white cuck - no sympathy from me ! #islam,0.9646382,0.8837417,0.942489,0.52129406,0.92728853,0.75095224,0.4665909,0.9652402
take this epithet seriously ! to sharia observant followers of islam  kafirs are indeed on a par with animals !,0.5026305,0.60387784,0.6282269,0.39029962,0.3070236,0.119877756,0.582053,0.8859991
the #sheeple want strong leadership  not spineless cucks !,0.57027644,0.53049695,0.63165885,0.4436791,0.6964585,0.68371606,0.28295258,0.30949765
the biggest hoax out there tho is the one of the white race existing and accomplishing all these things you neanderthals stole from blacks,0.6757943,0.68423986,0.7684371,0.44501537,0.6535803,0.30777186,0.4664744,0.91184324
the ethnostate is a cargo cult mentality . you'll have your white state - full of godless degenerate commie faggots .,0.7509647,0.87427866,0.9598461,0.27758524,0.93690646,0.47043794,0.4286355,0.96805567
the people at the charlottesville rally do not call themselves nazis . many antifa do call th,0.18055865,0.19254039,0.25126657,0.2421575,0.124052405,0.05852012,0.11054736,0.554025
they are happy to accept what they can without question i thk . the jews are using them to destroy the white,0.5750231,0.6996823,0.63281465,0.46146402,0.56087047,0.21269245,0.8763936,0.92215836
they're worse-useful idiot twits-fools that caused a massive flow of islam refug into eur th,0.8635976,0.7785769,0.9782506,0.18625085,0.8350255,0.14395766,0.20368518,0.8704554
want proof that #jews are #genocidal #maniacs ? ask them if #whites should have white #nations . their sincere answer is never affirmative .,0.57027644,0.53243625,0.6615572,0.4139795,0.5643256,0.19787884,0.5638094,0.8535531
we can thank the jews for flooding white lands with these nonwhite armies to use against the white race .,0.54375964,0.6484964,0.697997,0.38915706,0.6222302,0.20768446,0.48998204,0.8922736
well  that was mighty white of the new york times  wasn't it ? ! jew owned leftist rag !,0.529921,0.629488,0.70711976,0.44607645,0.5369884,0.21474884,0.30799466,0.8924726
white south africans trapped like frogs in boiling water as anti-white racial violence escalates #swrm,0.5810591,0.5125946,0.55255073,0.4139813,0.37442183,0.18038312,0.5256967,0.8422688
yes  that's true  there are jews that hate blacks & beaners but ultimately their loyalty is with jews not whites,0.5810591,0.65168536,0.68689156,0.34100667,0.60311526,0.17395216,0.28539085,0.92455935
you can see jew-hate more easily by reading your tweets .,0.50743616,0.31172818,0.48748288,0.25090292,0.3104823,0.093849935,0.12093421,0.744045
you don't care about slavery . you just hate white people,0.6611312,0.5819354,0.6356477,0.19332919,0.3263146,0.07056062,0.24071442,0.9238168
you should be scared  you racist sob . all white supremacists should be terrified .,0.7969615,0.63019407,0.72078943,0.49616632,0.24438679,0.09777228,0.5732787,0.85965294
