,text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack
25,""" and of course   """" anti-racist """" """" is a code word for """" """" anti-white """" """" . """" """" self-hating jews """" """" are nothing compared with self-hating white people . """"""",0.5933793,0.5295655,0.6828351,0.33237433,0.3142316,0.078018405,0.14590976,0.8911886
26,""" i like jared taylor .  """" he white """" """" """"""",0.1550967,0.258608,0.33169845,0.54321283,0.19109753,0.18775392,0.18715703,0.6280674
27,""" race cucks like paul ryan should be banished to live in a  """" diverse """" """" neighbrhd if they want t spout such nonsense """"""",0.6887467,0.7513779,0.8283024,0.56537324,0.7620831,0.68775916,0.73847425,0.8632578
28,""" right ? what good is  """" white supremacy """" """" if it leads to a white minority . """"""",0.43622825,0.31518996,0.4417462,0.3599446,0.18557301,0.13369876,0.22487588,0.7764623
29,""" rt  """" : proud white women speak out against white genocide ( video ) via """" """" """"""",0.29855597,0.39353526,0.38097584,0.47057188,0.30886608,0.37178236,0.5435221,0.7458816
30,""" rt  """" i hate you all """" """" - racist note from the black boy who raped his white teacher & slit her throat via #wr """"""",0.8763571,0.8416842,0.7956061,0.6693493,0.7496754,0.9274784,0.91432226,0.94293374
31,""" rt : how #jews feel about #whitepeople -  """" the white race is the cancer of human history . """" """" - jewess susan sontag #hate #israel # r ... """"""",0.7509647,0.69318736,0.734651,0.41765532,0.69309914,0.25091997,0.3747444,0.92455935
32,""" rt : white racialists rally in edmonton  alberta and london  ontario as a commemoration of  """" white pride worldwide day """" """" ... """"""",0.2995453,0.050856136,0.1111919,0.35213158,0.050239675,0.141427,0.046063274,0.15731703
33,""" rt another hate hoax : police nab notorious  """" white supremacist """" """" who drew swastikas around a college """"""",0.529921,0.4094936,0.6276372,0.46847415,0.24672407,0.2501688,0.49350953,0.77652496
34,""" rt australia returns non-white invaders ; jewish  """" human rights """" """" groups flip out | more : """"""",0.44509158,0.40341476,0.38027605,0.47544268,0.31013528,0.21873784,0.45811212,0.66945916
35,""" rt black people can't be racist  """" : ohio man pushes white jogger into traffic because he """" """" hates whites """" """" via """"""",0.5958905,0.5380709,0.68785954,0.36790013,0.5033486,0.2007776,0.25440732,0.8681177
36,""" rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  """" allah """" """" imagine founding a club on these principles """"""",0.37647265,0.58498615,0.62435955,0.37708983,0.3108064,0.15725033,0.71387094,0.8008965
37,""" rt rt #makeamericagreatagain #trump2016  """" thank you for all of your support  south carolina ! """" """" ; """"""",0.019714156,0.074951194,0.2003953,0.36098656,0.094512716,0.13502368,0.07574722,0.13363713
38,""" rt since when was jesus  """" mixed race """" """" ? ... please stop trying to stick jesus and christianity into your criminal communist ideology . don't tell me you're like those bbc anti-white racists that depict julius caesar and achilles as black men in the name of """" """" diversity """" """" and inclusiveness """"""",0.5024423,0.7097507,0.79079556,0.5016358,0.39685416,0.16872148,0.26382658,0.9232575
39,""" they smother the good white people of america ! they need to be hung  brother  """" south """" """" ! """"""",0.7382047,0.8486256,0.734651,0.4763247,0.51173586,0.2570331,0.9712794,0.942534
40,""" uk sport displays anti white racism when they cut funding for  """" white sports """" """" prior to tokyo olympics ! """"""",0.37954164,0.38142133,0.5685933,0.460423,0.3128567,0.20599906,0.31194812,0.8008965
41,""" us should have leaders this brave rt :  """" i don't want blacks in estonia ; this is a white country """" """" via """"""",0.5750231,0.4596891,0.5327092,0.5046005,0.34014732,0.24287061,0.44746065,0.84281695
42,""" well  i do believe it's time for spencer to step aside . along with the retards that started the  """" white sharia now """" """" chants . """"""",0.5035055,0.5579479,0.8301602,0.32471973,0.61987627,0.09644258,0.2842101,0.8422688
43,""" when you google  """" cuck knight """" """" ... """"""",0.44820568,0.48903173,0.73848367,0.35949984,0.78843606,0.7407407,0.07825268,0.24131668
44,""" white people have threatened the safety of  """" americans """" """" since the beginning  before this was even america """"""",0.4151741,0.38494453,0.40141675,0.37045902,0.19580635,0.09769395,0.5995549,0.7463131
45,#altrightmeans becoming great again .,0.020685982,0.043798555,0.06338842,0.34604457,0.04964156,0.071182095,0.09033996,0.085235894
46,#aryan men & women will either rise up to fight for their heritage  children  & future  or the white race will cease to exist . choose now .,0.39284727,0.5391137,0.4427248,0.44187534,0.30950505,0.22250044,0.84880793,0.81640023
47,#blacklivesmatter and again . black on white crime ! what a surprise ...,0.5810591,0.48530948,0.5065771,0.54793906,0.31061035,0.20983313,0.4687351,0.8422688
48,#defundnfl stop paying to make people who hate you  your nation  your people rich . #wakeupwhiteman,0.34388447,0.32112268,0.51732415,0.23177804,0.23096222,0.05522308,0.2457484,0.6874475
49,#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .,0.73034537,0.6707024,0.71103066,0.44378778,0.69309914,0.3125479,0.44890633,0.9047819
50,#kansas takes a stand for human dignity  defunds #plannedparenthood #defundpp,0.004650875,0.22467543,0.33193052,0.25730264,0.28250012,0.10461082,0.2797505,0.30439347
51,#kkk  i do not mind your booklet . how can i support ? ? ?,0.1943727,0.061966933,0.12836942,0.24601306,0.06323773,0.03798699,0.07115067,0.16439866
52,#ukraine #ukrainian thanks brothers . white pride worldwide . #wpww #14words .,0.355017,0.23968928,0.36510894,0.30313444,0.25542408,0.14003035,0.14577883,0.6870461
53,* threatened .. no jmac .. he black too but don't arrest him,0.47246054,0.2949448,0.34147683,0.38618824,0.27662253,0.16611907,0.5735867,0.6350989
54,. hey watch this . #leftism = enabling #islamists since times before #crusades . #historyrepeats,0.30053464,0.1707778,0.21149927,0.27589068,0.1411225,0.06414985,0.2404739,0.3933742
55,. op ed : islamic doctrine of shariah is anti-constitutional . your future potus should agree .,0.19716066,0.1265438,0.301499,0.19699134,0.10250567,0.042934462,0.110837065,0.60990167
56,: and throw in weekly standard these filthy white trash disgust me,0.8763571,0.80675346,0.90053433,0.3251743,0.8052676,0.24473211,0.58887196,0.94278127
57,: csp poll ( 2015 ): 29 % of muslim-americans : violence against those who insult muhammad is acceptable,0.46457416,0.40788493,0.3583436,0.42584768,0.2111917,0.11544315,0.57863486,0.7295222
58,: elin krantz : just another dead white liberal female raped to death by non-white invader,0.5958905,0.8197905,0.79446155,0.62951505,0.7532383,0.92006356,0.8908898,0.92455935
59,: hollywood jew harvey weinstein busted for decades-long sexual abuse of white women via,0.50255704,0.64966714,0.63032687,0.551358,0.5613413,0.8526232,0.5949817,0.8632592
60,: jewish harvard professor wants to abolish the white race ! read more : via,0.46457416,0.7337213,0.65638036,0.5153231,0.5843404,0.21891375,0.84773767,0.92289966
61,: kanye west releases his most anti-white rap song ever sucks hes the most racist man alive ..,0.7569718,0.6941699,0.8301602,0.48949268,0.7532383,0.5788732,0.52690977,0.87698615
62,: nice to know that tsunami didn't dampen their energy to stay in the 7th century .,0.010759487,0.016734898,0.021500146,0.21436039,0.021728836,0.0252986,0.050102886,0.04241475
63,: uk : students in islamic schools taught sharia amputation methods and that jews are conspiring to take over ...,0.39230084,0.22929811,0.2812695,0.3389298,0.20731744,0.0863718,0.22800896,0.6350989
64,: where is the media outrage ? white man was lynched and robbed by a racist black gang ! ( video ) via ...,0.5550837,0.62564975,0.734651,0.4893285,0.36293003,0.27141657,0.70920205,0.8924751
65,: whores of babylon : lena dunham celebrates white genocide via #whitegenocide #waronwhites,0.6556601,0.80814576,0.8453147,0.5384116,0.8625991,0.5674827,0.7674797,0.87493503
66,a certain 1400 years old religious ideology has proven to be the biggest killing machine of innocent people in human history,0.38959074,0.41240662,0.3171997,0.2344024,0.19741194,0.045518044,0.86013275,0.6350989
67,a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !,0.529921,0.5758488,0.6356477,0.5364204,0.3094909,0.20459487,0.71168894,0.8008965
68,a white man's response to frederick douglass on independence day - - #4thofjuly #july4th,0.15042676,0.035027143,0.07801583,0.25473082,0.0658375,0.15058476,0.06535732,0.21375296
69,all jews should be evicted from white countries,0.78524166,0.80814576,0.6410048,0.37030536,0.55529714,0.16643655,0.82345974,0.9460391
70,all white are not aryans ; why are they trying to board the bandwagon of aryans ?,0.36439645,0.43068194,0.43462992,0.34936392,0.2686477,0.11635579,0.35033393,0.8048797
71,angola used to be a prosperous portuguese colony . whites fled en masse in 1975,0.21109697,0.18968733,0.25889847,0.34751588,0.21848254,0.18019423,0.24491613,0.5139401
72,another white fourteen year old gang-raped by africans in norway via #wpww,0.6254302,0.66724956,0.5817077,0.5607009,0.580635,0.8560057,0.7594508,0.84780043
73,anti white ? see i knew this was a scam . stop lying to yourself  snowflake . just because you criticizeracists and bigots  doesn't mean you're anti white . coward,0.7740273,0.50766087,0.8933749,0.34082508,0.31431666,0.071427606,0.13185292,0.8422688
74,anti-white tweets from hijab #rio2016 athlete . #deportallmuslims,0.58919406,0.4510062,0.56967074,0.40993673,0.3100347,0.13627698,0.29837742,0.86236435
75,are we actually fighting an asymmetrical war against white genocide or are we just playing tiddlywinks with enemies who mean to kill us ?,0.44820568,0.37115523,0.28326097,0.28277045,0.21751122,0.0573652,0.82345974,0.6740781
76,are you jewish ? if so you aren't white . either way you're anti-white .,0.5535644,0.539751,0.61601853,0.36486897,0.43740374,0.14544652,0.25925574,0.9043583
77,basic human rightswhat for so how are u guys on jews and blacksben n i hate them,0.83020335,0.75331295,0.6356477,0.33694696,0.5666473,0.16429748,0.5109079,0.9352267
78,because of course #whitepeople need #billboard #marketing kkk #kkk,0.4396069,0.35507149,0.40805063,0.28571942,0.3122133,0.12361915,0.2777834,0.7451862
79,before i read it was white pride i was going to suggest white only sessions,0.36667302,0.36001945,0.32715598,0.38890016,0.31097618,0.33745417,0.4233293,0.73273295
80,belgium : non-white invader rapes white woman after dont rape course : via,0.6237118,0.80814576,0.734651,0.7302537,0.7572071,0.93873084,0.8763936,0.92455935
81,both north america and europe belong to us . white men conquered and colonized both .,0.35870504,0.189172,0.313317,0.40107095,0.11938378,0.10039865,0.27516583,0.6657714
82,breaking : ohio dismemberment abortion ban clears ohio senate ! #prolife #theyfeelpain,0.101391904,0.103731066,0.12643296,0.28848603,0.11074371,0.09688505,0.2736499,0.14026108
83,britain sees race war brewing between non-white invaders | read more :,0.355017,0.315551,0.3667555,0.39120975,0.27137205,0.14702423,0.5853055,0.6828046
84,can whites have black artists shoved down their throats without losing their own culture and heritage ?,0.5023275,0.41048613,0.54078645,0.38483724,0.29060858,0.31692773,0.5373135,0.7815796
85,come together white people or perish,0.5042868,0.64841163,0.4789227,0.40903908,0.4035327,0.22742327,0.8763936,0.8689349
86,cucks ? they are democrat plants !,0.529921,0.50321937,0.6567969,0.47668472,0.69309914,0.62829995,0.2421165,0.49724984
87,did you ever really believe he was pro-white ?,0.31089294,0.12990813,0.2504253,0.2690743,0.1448687,0.10725464,0.087948546,0.6011927
88,don't tell bernie ; hescandinavian socialism & will shudder islam invasion,0.37954164,0.34160426,0.34055665,0.34655604,0.18877968,0.09696874,0.5484438,0.74459475
89,don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media,0.39230084,0.2875687,0.55866396,0.5652052,0.21669349,0.156084,0.34251958,0.6368498
90,don't worry  bill . it's not a pogrom . we're just replacing jews with white people .,0.50255704,0.40130794,0.48640966,0.36779988,0.411388,0.15093252,0.24542312,0.80623084
91,dough boy fattass is a cuck  what a shock,0.8795294,0.62949574,0.8136973,0.36926755,0.83329964,0.76537555,0.18464985,0.2992681
92,elin krantz : just another #dead white liberal #female #raped to #death by #non-white #invader via,0.5835036,0.7782236,0.7257333,0.60810363,0.74852616,0.92006356,0.8908898,0.8921792
93,extinction of america's white population speeds up #swrm #whitegenocide #prowhite #speedsup via,0.45964533,0.5307451,0.59687513,0.3564093,0.5490414,0.18743019,0.7604719,0.8422688
94,final solution : the 1941 plan to exterminate germans #whitegenocide #munich #prayformunich,0.5958905,0.68130934,0.5695473,0.32199204,0.61823416,0.1611985,0.8908898,0.8422688
95,german #holocaust #revisionist patriot horst mahler arrested in hungary via,0.18253209,0.29618147,0.23417658,0.22247255,0.24447116,0.08953861,0.48718843,0.5318623
96,has the white race become too lazy ? our people have largely fallen to the disease of #materialism & comfort ... #news,0.49309984,0.36151865,0.5095645,0.5166696,0.23929134,0.12928401,0.28636876,0.71589833
97,hate group because your proud to be a white american christian ? insanity ! and very disappointing !,0.5958905,0.61456925,0.7923676,0.2958131,0.30865556,0.038824294,0.13849398,0.9189628
98,he is also a black racist . dont forget that .,0.7007861,0.52812505,0.71580285,0.29834527,0.3552037,0.13481167,0.095744796,0.8632592
99,he overdosed on black pills when the narrative was hijacked in charlottesville .,0.2712817,0.024726544,0.07269628,0.24120754,0.029388515,0.10972345,0.025250554,0.050260764
100,he should be fired for virtue signaling like a cuck before any evidence was out . how can a man like that lead soldiers,0.46292964,0.46103212,0.6626743,0.47352487,0.6970608,0.7407407,0.5172734,0.3556558
101,help us in california . they are killing americans jobs and taking over the state . some wont go out if they dont have to . a lot dont speak english . they have taken over everything . the politicians are not for americans . they are for illegals . cant move,0.39230084,0.37358752,0.36699152,0.38229534,0.14317237,0.057658914,0.76755625,0.6827006
102,heretics = infidels halal to kill,0.8202001,0.75043267,0.5251941,0.22444487,0.56609786,0.07109447,0.9664865,0.76413167
103,his white half is just as bad,0.52368855,0.45231038,0.6211811,0.2649356,0.35850778,0.1416737,0.2627151,0.8008965
104,horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via,0.5958905,0.63570476,0.70199466,0.3805759,0.43698105,0.14017208,0.7626794,0.86325026
105,i don't think his message of racial inclusion was aimed at minorities . i think it was aimed at cucky whites .,0.4945446,0.4225558,0.57890254,0.32188448,0.6207181,0.5307722,0.23338076,0.8008965
106,i have an ultra liberal next door who says there is no such thing as black racist only white people can be racist unbelievable,0.5851118,0.5895862,0.65218997,0.38171673,0.39522943,0.19031624,0.24531014,0.8422688
107,i heard twitter is cracking down on white supremacists . are they also cracking down on racist blacks calling for th,0.49835235,0.6057536,0.70199466,0.3344413,0.42503127,0.14162126,0.36684927,0.886927
108,i live in texas  but despite being a gop wonderland  white people continue to murder and rape and steal . never trust whitey . violent race .,0.7593913,0.68229675,0.7001003,0.5137848,0.61930335,0.778477,0.83068925,0.9047819
109,i lived there it was fine you are just a scared white dude,0.5750231,0.40792954,0.5671134,0.6779959,0.36142278,0.24726535,0.37311617,0.7828944
110,i stick up for white people  thats not what you're are racist and putting down other races .,0.4151741,0.6415624,0.68785954,0.4110725,0.411652,0.21376805,0.40191,0.8628008
111,i support the alt right aspersions for portion of us to be all white ethnostate  even,0.4151741,0.32307887,0.23345332,0.32892746,0.17393932,0.13438407,0.5528148,0.6350989
112,i support the white brotherhood,0.36439645,0.09639284,0.100608446,0.23919336,0.09699059,0.07981456,0.18579008,0.31654665
113,i take that back . one of his parents must be white . not purebred,0.42315382,0.5466955,0.6356477,0.27787545,0.27831617,0.12587632,0.37323236,0.87698615
114,i very much doubt you are white person of european descent . from,0.39010584,0.30600932,0.32484624,0.35794163,0.18898867,0.101405814,0.12380017,0.6642689
115,i was born white  i can't help it . i should just kill myself ... said no one ever .,0.5535644,0.7638403,0.46345082,0.36909458,0.5566086,0.14036615,0.96913385,0.769335
116,if a muslim kill a jew they celebrate him as a hero . if a christian kill a jew we call,0.7699882,0.85945976,0.660731,0.36145923,0.61711335,0.11702046,0.9664865,0.94630396
117,if it's white it's right,0.3897707,0.27224764,0.28359213,0.23381487,0.22657359,0.14851005,0.30134273,0.66705793
118,if the whites who condemn us get their way america will look like detroit and india ! does that sound good to you !,0.4254099,0.33304125,0.372952,0.5203769,0.22556882,0.14469099,0.3740786,0.7730008
119,if you're not scandinavian or irish you're not white .,0.35227737,0.3070226,0.4494611,0.23650353,0.17368789,0.053935245,0.23900178,0.80063593
120,indian intellectuals bemoan everything . they are like rudali-s  professional mourners ; these intellectuals mourn all the time . 3 / n,0.43451136,0.09990957,0.19325404,0.4237896,0.112141676,0.120176874,0.09460016,0.28051063
121,infanticide is unacceptable in a civilized society . congress must pass the born-alive abortion survivors protection act .,0.103539884,0.32481334,0.30255255,0.22568008,0.15320471,0.11785617,0.6968641,0.29674077
122,infrastructure is the white mans game .,0.42631236,0.11232784,0.24060006,0.28140822,0.15944673,0.2153717,0.15201595,0.4113569
123,interracial marriage = white genocide,0.8129004,0.6795197,0.49935368,0.31558633,0.4374975,0.1387238,0.76268685,0.87030643
124,is white nationalism an #adl honey pot front ?,0.30788645,0.224772,0.2911035,0.39365304,0.21374753,0.1737607,0.22713995,0.58523935
125,islam is racist,0.630413,0.67265844,0.70199466,0.23367415,0.4996475,0.07767161,0.12012809,0.90462834
126,isn't that how it usually begins ? this hatred for infidels and belief in islamic supremacy etc .,0.37221906,0.26883134,0.34001508,0.20218825,0.14303626,0.058129463,0.34179783,0.7457246
127,israel prepares for #myjihad islam muslims bjp modi #ramzan tmc mps #femen #tcot iraq isis syria,0.46292964,0.6149762,0.51023674,0.545016,0.5052738,0.35918725,0.58293396,0.80068165
128,it seems atheists are intent upon stealing away our freedom of religion ...,0.4945446,0.26300856,0.3128971,0.21719208,0.19735396,0.058280826,0.2406884,0.6875496
129,it would be everything fine if the cop was christian or jew . only they can kill in se,0.73034537,0.7731165,0.5476782,0.30939972,0.53361267,0.08381218,0.95534205,0.90419465
130,it would be nice .. i would like the idea of my white race surviving .. to thrive and kick a,0.6757943,0.5845935,0.36533692,0.5637958,0.31878892,0.20842326,0.88008946,0.8018837
131,it's axiomatic that all southern white men are lousy in bed .,0.5535644,0.60990316,0.734651,0.5563135,0.5089593,0.5702001,0.33021393,0.87698615
132,it's fundamentally different . whites are better off without blacks and jews ; both parasites on white civilization,0.74195385,0.7638294,0.8301602,0.3756797,0.6992,0.16850251,0.3500995,0.9408249
133,it's us white gentiles getting screwed ! :,0.6430099,0.6103706,0.632348,0.42965034,0.7947745,0.68371606,0.27181453,0.8008965
134,its ok to love who you are . unless you're white,0.68288773,0.3473163,0.37511772,0.6085008,0.2538777,0.15414411,0.23944029,0.8005592
135,jewish activists welcome the scandals slowing the trump agenda,0.38261065,0.2856843,0.27423945,0.30165252,0.18236673,0.086392224,0.2002683,0.59435815
136,jews know deep down  they're not white,0.4945446,0.6826288,0.6131587,0.39850014,0.51227427,0.18101954,0.49377084,0.9047819
137,jews run banking  media  academia  and govt ; you're the dummies .,0.6237118,0.60860366,0.8376734,0.40469256,0.6558066,0.203656,0.2282272,0.8622717
138,jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men .,0.6809553,0.7692005,0.7682697,0.6610517,0.72873646,0.5706006,0.57032096,0.92455935
139,just search twitter with ' white people '  you'd be surprised on how many anti-white non-whites there are . #diversity,0.42390585,0.4643582,0.4873542,0.31958303,0.31351072,0.11966717,0.27440944,0.8610151
140,lahore was a beautiful city dominated by sikhs and hindus ... we lost it ...,0.33081788,0.22902468,0.2312735,0.6806099,0.11849128,0.110184066,0.3924074,0.4751738
141,lol you're jewish though . not white .,0.4489545,0.47803974,0.5135822,0.32388285,0.36134085,0.13340801,0.20695558,0.8625751
142,look at this  some angry black person . you were right they're all violent .,0.7007861,0.5863561,0.6732314,0.3396056,0.34332484,0.06734656,0.48101622,0.8921792
143,love you the bearer of aryan race ! ! see what is going on !,0.28923595,0.23631911,0.19871378,0.58828074,0.17490263,0.15534729,0.28804165,0.5349827
144,maga white cookouts would be nice .,0.16413476,0.29326242,0.3691513,0.5283527,0.294776,0.23810524,0.27501723,0.51065165
145,make america white again : saturdays nationalist unity gathering | traditionalist youth network,0.28825936,0.256979,0.2757868,0.3852615,0.19870815,0.16448575,0.5681113,0.6350989
146,maybe because somalis have a habit of being criminals people hate them ?,0.54375964,0.2555723,0.43680948,0.24699186,0.21853732,0.07333783,0.16407691,0.5413801
147,migrants change uk forever : white britons will be in minority by 2066 via,0.3437808,0.41695225,0.38947183,0.40123984,0.36699665,0.12838112,0.4927281,0.72994334
148,milo  trump  and white identity politics #tlot,0.43791756,0.14420132,0.30870563,0.24242538,0.14200602,0.07171181,0.07870228,0.48443472
149,most jews follow / embrace their leaders anti white hate  thus most jews are not really ' good people ' like ramz says .,0.4945446,0.59696317,0.6348508,0.423058,0.50898266,0.15761177,0.3224187,0.87698615
150,mr moshe it's such a complex issue - again  i do fault the media for 99 % of all thus silliness because the more hate they stir up the more money they make . i would say that used to be the case  now it's the opposite . every white person is a racist and all blacks are victims,0.57027644,0.5134513,0.734651,0.34913987,0.31153324,0.12634747,0.12369018,0.85439664
151,music against the ' holocaust ' hoax ? : music can probably be a good weapon to amass awareness against lies . ther ...,0.22983712,0.20664832,0.30886942,0.3621653,0.14033556,0.07888722,0.5310797,0.29647344
152,muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who d,0.83020335,0.8518856,0.68379813,0.2879408,0.62096375,0.087854184,0.9740376,0.9430493
153,muslims are always wanting to kill someone ! its their duty to kill the infidel .,0.88651687,0.8053422,0.734651,0.36125427,0.6186025,0.16463083,0.9533248,0.9399891
154,muslims are commanded to kill all jews ! see verse :,0.83020335,0.86923826,0.68839103,0.32958138,0.6222302,0.113136545,0.9712794,0.9522544
155,muslims kill non-muslims because they kill non-muslims . period . vj is a hate america first-er . that's why obama hired him .,0.7007861,0.7240869,0.6356477,0.34859347,0.4339424,0.098330475,0.8763936,0.90440947
156,my white privilege ? see there's that again you know absolutely nothing about me or my family but i'm racist and get white privilege lol,0.46128514,0.31755838,0.48570338,0.3423495,0.25851586,0.12854406,0.123489335,0.7460304
157,nba's millonare anti-black racist jew tells girlfriend  ' in israel  blacks are treated like dogs ' | read more :,0.62792164,0.68541723,0.79515886,0.41789177,0.51967156,0.17562316,0.25637242,0.92455935
158,negroes have different reproductive strategy . they are more successful than whites  reproductively speaking .,0.5835036,0.48923895,0.62937653,0.45108047,0.5745797,0.4514575,0.1253358,0.79943544
159,never vote for somebody who doesn't say up front he is for the white race ! code words don't cut it !,0.44805592,0.3943222,0.42391425,0.46952888,0.28877255,0.19067518,0.516706,0.7606676
160,no  thats what white people do,0.31671798,0.41635272,0.41409686,0.22393009,0.2942689,0.12128218,0.26386783,0.8008965
161,no no no no no no ! ! ! when whites get angry  it's this,0.44509158,0.37670463,0.42707372,0.30682576,0.2896209,0.12973554,0.29996765,0.8123284
162,not just the brits but eurocucks and the elitist white cucks here too .,0.54375964,0.61333424,0.70199466,0.50052744,0.69257516,0.62516993,0.32056668,0.86284834
163,nothing to see here . we all know black on black and black on white crime is,0.46128514,0.48719022,0.4468335,0.3370108,0.2918544,0.14722298,0.58800954,0.8624832
164,notice how the babies are all white . hey it's not white people who have an issue with population control .,0.4151741,0.42560118,0.49554682,0.30514523,0.26241678,0.13419268,0.33499065,0.8422688
165,now they are calling for an invasion . this is white genocide ! !,0.5535644,0.5527803,0.45254275,0.5394202,0.31876972,0.23215108,0.82345974,0.8008965
166,now why would british jews want an influx of syrian moslems ?,0.29558796,0.31860787,0.35773584,0.3607101,0.30167365,0.1347071,0.15302591,0.7211169
167,obama has zero concern for middle class white america he is more dangerous to america than any terrorist,0.5124461,0.46617016,0.63516986,0.3391595,0.2901311,0.13400923,0.44872552,0.7710423
168,or give a heartfelt eulogy to a racist like obama did at robert white sheets byrd's funeral .,0.4489545,0.47115546,0.67269516,0.490588,0.21048364,0.11998378,0.41925943,0.7369851
169,our heroes will never be theirs . multiculturalism is a hoax . hail white america .,0.44298556,0.32212332,0.5710849,0.41918287,0.19155246,0.09201179,0.1955637,0.7306458
