text,toxicity,severe_toxicity,insult,flirtation,profanity,sexually_explicit,threat,identity_attack,,,,
Idk what to post on here other than gay shit and ramblings,0.9017833,0.8484072,0.9396222,0.2417759,0.9736581,0.513879,0.25126693,0.96805567,,,,
Locality?  It's not even a matter of huge actions either.  Just small nuisance actions.  Guerilla tactics.  Hits and runs.  Any thing that damages the enemy.  Why wait! Everyone waiting on the other guy to do something leads to no one doing anything.  Which leads to nothing but words and cowardice.  Acting localyl is where to start.,0.23540631,0.07837533,0.35199305,0.3474018,0.0366403,0.035652272,0.1571219,0.073406406,,,,
"""Here's what I have to say about 'sympathetic victims'  produced by the media in general, regardless of the situation: EAT A DICK. Being mass shooting survivor doesn't make you an expert on gun policy, no more than being a cancer survivor makes you an oncologist.""",0.58919406,0.3532785,0.43182054,0.42049477,0.50926864,0.7407407,0.5667874,0.19704784,,,,
"""The American Left instinctively pursues censorship for at least two reasons: �?They trust government more than individuals with liberties �?Modern liberalism is largely built on emotionalism, not rational debate https://therevolutionaryact.com/american-left-seek...""",0.119872786,0.024912128,0.08782276,0.31819293,0.017642397,0.015282854,0.033907898,0.14919272,,,,
Global progressives quietly pushing “assault-on-marriage�?bill In Florida. https://therevolutionaryact.com/progressives-assau...,0.067320265,0.24304491,0.45276088,0.43936896,0.34222487,0.5046854,0.25955024,0.2542438,,,,
Not just wishful thinking. Very serious electoral issues...as long as we don't legalize millions of illegals... https://therevolutionaryact.com/beginning-end-demo...,0.14552918,0.044191565,0.19961871,0.42015362,0.019394644,0.020489272,0.04912283,0.23276901,,,,
MARTIAL LAW can only hurt Trump's optics. Commies would cheer it on as justification for more violence. Free people abhor the idea—even if there are Antifa mobs every weekend.   Cut their funding. Prosecute organizers. End goal of Antifa is violent revolution; a worse police state only fuels the fire.,0.22983712,0.104959264,0.3019471,0.38379472,0.10477949,0.06546236,0.35895038,0.12697054,,,,
https://www.youtube.com/watch?v=InYv4-WIK0I  Why don't Asians complain about 'White Privilege',0.31540272,0.24351832,0.30407506,0.49542055,0.17667474,0.18811227,0.3158959,0.7433136,,,,
A church in Berlin was damaged after unknown attackers pelted stones at the building while shouting “Allahu Akbar!�?https://www.infowars.com/berlin-attackers-hurl-sto...,0.22598907,0.0641189,0.09431398,0.3607302,0.035652015,0.04289169,0.23946552,0.25965482,,,,
A physician and former Green Beret has tweeted about the dangers of the ‘body positivity�?movement after Cosmopolitan featured an obese model on the cover of its UK edition. https://www.infowars.com/physician-warns-about-dan...,0.112144895,0.033343535,0.1663796,0.48973432,0.03028249,0.031902142,0.052573342,0.05957674,,,,
New Mexico jihadist case getting weirder. Child abuse charges dropped because of a 'screw up'. Judge says there was “a complete failure to follow proper procedures in prosecuting the case�?by the DA. https://www.infowars.com/child-abuse-charges-dropp...,0.16827796,0.39452934,0.53433347,0.51812017,0.35654023,0.29841667,0.3232957,0.58523935,,,,
"""*NEW VIDEO* Bono says he will wave a giant EU flag on stage during the next U2 tour. He says this will be 'a radical act'. Waving a flag that represents a giant unelected, dictatorial bureaucracy. So radical! https://www.youtube.com/watch?v=kQIgciyHIG4""",0.15684792,0.05568769,0.13612984,0.49598584,0.10119097,0.054214947,0.08477181,0.053091466,,,,
"""CNN analyst Jeffrey Toobin says it's racist to criticize Antifa because they’re “widely perceived as an African-American organization.�?Yes, he really said this. https://www.infowars.com/cnn-analyst-says-its-raci...""",0.20009461,0.11809425,0.35481814,0.4084488,0.046612103,0.041121818,0.045741078,0.4157823,,,,
"""There is no such thing as a free society , Islam and communism need to go not compatible. If the United States is to survive they must be banned""",0.42465788,0.3116966,0.31449938,0.30732203,0.11062502,0.036881313,0.27402824,0.69216746,,,,
John McCain The bullshit tributes are hard to stomach. Very human. Move on,0.7509647,0.64786816,0.7760997,0.4035808,0.9073087,0.2721758,0.25583127,0.41735858,,,,
White people post WW2 They are that stupid. Allowing all this bullshit to happen right under their noses Western civilization was smart cunning and superior. Rest is all envy,0.86967754,0.76392955,0.9005233,0.3242559,0.92678523,0.14041364,0.38455942,0.8808286,,,,
To the human Catholic clergy You damn fools to allow this to happen Homosexuals The smoke of Satan Misanthrope,0.9254919,0.82535356,0.93234444,0.22769317,0.90915054,0.3714997,0.342621,0.92455935,,,,
"""Top Psychiatrist: Today’s Left Are Mentally Ill https://yournewswire.com/psychiatrist-left-mentall... via @yournewswire    we already knew this, but it's nice to have it officially confirmed.""",0.29021257,0.052328624,0.35123065,0.25394887,0.04119469,0.017504312,0.043866783,0.21779385,,,,
"""Portland School Teachers Given 'Social Justice' Guides - Praising Islam, Che Guevara, Black Panthers https://www.thegatewaypundit.com/2018/08/portland-... via @gatewaypundit I guess they're not hiding it anymore...""",0.15188612,0.18748708,0.30620638,0.47541893,0.11852245,0.08261738,0.17185757,0.6549534,,,,
"""free speech Twitter alternative Gab. Although Gab has experienced a surge of users following the big tech blacklisting of Alex Jones, as well as a wave of users from Kenya and Brazil following social media crackdowns related to those countries""",0.054534122,0.013615002,0.036690153,0.31131753,0.026226955,0.02918856,0.02644207,0.040405944,,,,
"""Yeah, I hear ya. Obama was the emperor with no clothes. I used to try to  discuss politely our political differences, but its exasperating. I just got tired of the blank stare shark eyes rolling up into their heads when confronted with facts and logic.""",0.24242763,0.056536656,0.15498552,0.4556397,0.03463882,0.041758906,0.13403276,0.1042452,,,,
RNC continues to show their cuckedness.,0.45120096,0.27574795,0.5375502,0.32483488,0.50738287,0.3452888,0.16075903,0.24765913,,,,
"""I thought my 2 bros and wives were harmless till they couldn't believe I didn't vote for Obama. I started red pilling whenever I could, but they're too far gone. My adult nieces/nephews make asinine SJW comments on FB all the time. We are cordial but limit $$$ and contact with them all.""",0.33600304,0.2806446,0.6812456,0.37532172,0.4444719,0.31003234,0.10146783,0.20396785,,,,
Democrats - we are willing to negotiate on DACA. Also Democrats - Give us every one of our demands or we shut down the government and blame republicans.,0.17957193,0.055638205,0.21499202,0.31131202,0.03172889,0.017153155,0.087483846,0.20522377,,,,
"""I would take a week of unpaid leave to help build the wall, weekends too. #BringingMyOwnBricks #CookOutEveryDay""",0.14193995,0.02445277,0.0208038,0.34286472,0.027137911,0.04867407,0.16128838,0.019381423,,,,
"""Mexico will pay one way or another, but I would have NO PROBLEM buying a brick or more (truckload) to help it move along. Maybe put my name on it #Buildthewall""",0.18450552,0.09156001,0.13283162,0.50186557,0.09923926,0.10087215,0.16665642,0.23826768,,,,
Wanna hear a joke? Black people lol,0.7382047,0.58987045,0.6606875,0.2934774,0.4733709,0.10643077,0.18752387,0.8738987,,,,
Sometimes I actually think about shaving mine again. Hipsters have turned the beard into a crutch for their masculinity.,0.317855,0.08323839,0.24114893,0.2810967,0.1212465,0.23160435,0.10212705,0.24801168,,,,
"""@ToddKincannon�?I sent you a star trek related thing! This guy turns the TNG crew into sadistic, genocidal, homosexuals, rapists, and voyeurs. It’s 100% worth it.""",0.6662635,0.6747699,0.7812067,0.57185555,0.43971133,0.778477,0.7110269,0.8572101,,,,
That Time Telco Lobbyists Sent Me All Their Talking Points About Trying To Shift The Blame To Internet Companies https://www.techdirt.com/articles/20180829/1803074...,0.04234509,0.024464708,0.030108629,0.35842174,0.029500104,0.02694088,0.07373374,0.0407942,,,,
"""Abortion: The Left tried to get Legislation passed, they lost. Went to a Liberal Supreme Court and forced it on us.  Gay Marriage: Tried to pass it in States, they lost. Tried to pass it in Congress, they lost.  Went to a Liberal Judge and forced it on us.   Trump: They lost to him now they seek to remove him from office. Are you seeing a pattern here?""",0.29070088,0.2538222,0.53363997,0.43757495,0.11501133,0.18160644,0.4968757,0.5579358,,,,
"""Socialists have been claiming for a century or more that Capitalism doesn't have the facts on its side.  Losing that argument, they now claim that facts don't matter.  Rinse and repeat.""",0.13146462,0.020105276,0.092600174,0.21406217,0.019645004,0.02256266,0.036640134,0.0670038,,,,
I am a Roman Catholic.  Our church is corrupt.  We need reformation.,0.355017,0.2887661,0.54405224,0.25807753,0.19311509,0.039643545,0.16394179,0.7238583,,,,
"""In America, Right Wing can best be described as people who are self-sufficient and want to be left alone.  Left Wing is best described as people who are dependent and want to tell everyone else what to do.""",0.08689302,0.014115601,0.06474337,0.23044354,0.007498369,0.009663628,0.010806876,0.06239112,,,,
"""If we are to succeed in Making America Great Again, we have to put a lot of effort into making Americans Great Again.""",0.024318827,0.03367399,0.05645606,0.3443897,0.032049075,0.08660932,0.076562904,0.12347531,,,,
"""I have had an idea.   Instead lorry companies getting fined tens of thousands of pounds per migrant find coming over the English Channel, hows about we fine french authorities for allowing migrant hot spots to grow where lorry embankment is carried out and the Belgian government for allowing illegal movement of people through their country.""",0.13251819,0.091371536,0.21953513,0.45406446,0.077496916,0.0706373,0.18993764,0.3111087,,,,
I think I have to sue Facebook I want to change my gender to Orange because I feel orange and identifie as orange and it would not allow me.,0.13386416,0.17307726,0.20630056,0.27498865,0.13229041,0.13806736,0.2345753,0.3511572,,,,
It is wild to see twitter bend over backward to defend Sarah Jeong's tweets. People can easily call out right wing racists without issues. But the minute it is some woke type then suddenly the narrative changes or it is okay because they are 'anti-racists.' Then gamergate gets a mention lol you get to sit back in real time and see the power of false narratives.,0.2945986,0.10793236,0.42713606,0.3349435,0.08797003,0.038601656,0.054829482,0.4066423,,,,
This whole event is showing how much of a race tot he bottom things has become lol. Context is important. This what outrage culture leftist wanted with these rules lol. It was a matter of time.,0.28874767,0.1112442,0.30770865,0.40575927,0.12762499,0.13527559,0.09382683,0.23139611,,,,
'The Future is Masculine | Anthony Dream Johnson & Socrates' by @21Studios https://gab.ai/tv/watch/18074,0.07011723,0.02090683,0.029830055,0.41292614,0.025832895,0.03708797,0.1391594,0.024307536,,,,
"""One thing that Conservatives never talk about is how disgusting infanticide laws are. Forget abortion for a minute, reduced sentences for killing the already born is disgusting. Not sure if the USA has a similar law, but in Canada killing of babies under 1 year of age is covered under special infanticide laws to quote 'provide a partial defense'.""",0.35336453,0.20591033,0.5489803,0.32014066,0.0847411,0.019679379,0.60432166,0.18522318,,,,
Infuriating argument with a leftist this weekend regarding Haitians illegally crossing into Canada and their lack of any thanks for all the welfare and donations they've already received.     Me: 'What about our donations and benefits & now they break our laws?   Her: 'Gifts don't come with conditions.',0.25219622,0.05552965,0.23618974,0.41311294,0.031964682,0.02211827,0.081435114,0.17725636,,,,
Talking to a leftist acquaintence the other day. He assured me that Joe Biden would be running in 2020. I said 'I certainly hope so.' He responded 'rock on' apparently missing my point that if they run Creepy Uncle Joe virtually anybody we put up will easily beat him. This is the left.,0.20742953,0.11978463,0.25097826,0.4246876,0.08157427,0.03641266,0.5314596,0.13658193,,,,
"""While Coraline failed in 2015 to get a guy kicked off a project for his political opinions, earlier this year SJWs successfully removed a guy who had been working on a project called Drupal for 12 years, because he liked to practice BDSM and that was misogynistic.""",0.263611,0.17549136,0.3420169,0.3808425,0.0877822,0.17569512,0.48356864,0.120087154,,,,
Yes Coraline and other SJWs literally hate meritocracy:    'Marginalized people also suffer some of the unintended consequences of dogmatic insistence on meritocratic principles of governance. Studies have shown that organizational cultures that value meritocracy often result in greater inequality.',0.15684792,0.04604163,0.11100152,0.31008205,0.028681861,0.01787699,0.13597277,0.16574198,,,,
@alternative_right   Are you guys gonna gas me because of my Scottish roots?,0.30337667,0.24921651,0.1772833,0.3254636,0.21172246,0.16987336,0.6567898,0.4864268,,,,
The left REALLY wants Texas.    Pathetic.  https://www.marketwatch.com/story/beto-orourke-hai...,0.5535644,0.2282872,0.8842877,0.37187406,0.15152377,0.027007554,0.08144068,0.24964182,,,,
"""Democrats have proven they are FOR criminals, pedophiles and higher taxes. I just don't see why ANYONE would vote for them.""",0.57027644,0.28118947,0.7124825,0.2895834,0.1682327,0.3242416,0.11288388,0.5832948,,,,
People are such fucking slobs. Anyone who wears flip-flops to the airport ought to be subject to execution.,0.90742445,0.8416842,0.9091764,0.31655324,0.9568406,0.39844579,0.8763936,0.65911597,,,,
"""Bitching on social media may be cathartic, but the best way to fight the biased lefty press is not to watch, mention, click, link, post, or refer to their lefty crap.  Even by complaining (mentioning) you’re giving them data to sell to their advertisers. Take away their ability to sell your data, take away your eyeballs and they’ll go out of business over time.""",0.59863794,0.55502117,0.8106668,0.2930572,0.80696267,0.15018833,0.2449672,0.3085834,,,,
"""I get to take over as Tech Lead of a project after 6 months of the previous guy screwing it up against my repeated protestations. I am so lucky to have this opportunity to bring the project back from the brink of destruction.On second thought, no thanks.Here is my 2 weeks.""",0.13521013,0.1101109,0.1605523,0.32195723,0.22020765,0.11953707,0.31645474,0.057873264,,,,
Imagine the meltdown libs are gonna have when they see that everything they have believed for a year or more was lies. #releasethememo,0.17661177,0.03616142,0.25570774,0.21309981,0.052506607,0.01967992,0.053367913,0.06999748,,,,
"""Tomorrow is the First Saturday of September Our Lady warned us that priests and bishops would commit terrible crimes in years to come unless the faithful prayed more. At Fatima she asked us to keep at least five “First Saturdays�? attend Mass, say the rosary, go to confession, and meditate on the mysteries for fifteen minutes.""",0.09870692,0.044447318,0.13313313,0.3322793,0.021033898,0.02328584,0.07933004,0.1531163,,,,
"""The Horrific A friend and former business partner who also is a retired policeman sent this along to me today. It describes a case he had, which was the wreckage left behind by one homosexual priest. Predators. Gay predators. Which sounds like a joke. But as my friend knows better than anyone, it most certainly is not:""",0.4945446,0.28147513,0.5900117,0.28286883,0.14836533,0.373845,0.07763124,0.7469733,,,,
If you see this post you must quote an at'a' post and call him a fag in some way.,0.68288773,0.6045573,0.80613285,0.23820384,0.8519811,0.32068482,0.23224597,0.7284994,,,,
"""Australia is criticised for treatment of those whom arrived illegally on boats and sent to Manus Island despite:  Australian govt giving $70million Detention centre gates opened last October, ppl were able to come and go, Those who stay have air conditioning housing, Pay TV, NO BILLS,a weekly allowance AND have not lifted a finger in 5 years""",0.112788886,0.027517298,0.045728028,0.36111602,0.02699883,0.042141672,0.07364043,0.10887516,,,,
Australia: refugee on #Manus Island who often speaks of the horrors of detention (despite open doos) pictured enjoying a tropical holiday with other detainees drinking from coconuts.   http://dailym.ai/2fKCj0i,0.07850813,0.110000305,0.11486762,0.42989215,0.1704058,0.1663544,0.23486999,0.19740234,,,,
Not really. Jews think the highest of themselves.,0.2712817,0.26907885,0.33343247,0.29351416,0.23068637,0.12613979,0.17274763,0.6987911,,,,
"""'Parliament itself is the biggest source of fake news in the country�?straight after this hearing you’ll be at lunch with some Guardian journalist quaffing a glass of Chablis and spinning this how you want'.  I'd never heard of Arron Banks, but I already like him. http://www.spiked-online.com/newsite/article/no-ar...""",0.16827796,0.047047064,0.18966481,0.4182684,0.08163308,0.07538602,0.11074295,0.100964054,,,,
"""The Far Left's march through the institutions continues. If you want to ask a programming question on StackOverflow, they would like you to first check your privilege and take a scientifically-unsound 'implicit bias test'. https://stackoverflow.blog/2018/04/26/stack-overfl...""",0.0753116,0.01870179,0.07572436,0.3407502,0.00906725,0.025228862,0.032100633,0.04456875,,,,
"""And if this catches on, Sweden will ban spoons claiming they’re utensils of islamophobia.""",0.355017,0.3372626,0.48201618,0.37164748,0.19895756,0.124162756,0.33065993,0.69885945,,,,
"""I think we America, as a Nation, are roaring full on toward peak-retard.""",0.44298556,0.42325106,0.80613285,0.32806924,0.53507024,0.07862288,0.1298007,0.6350989,,,,
Liberal collateral damage.,0.22991583,0.111013725,0.24597763,0.2173728,0.095249325,0.031827368,0.43312415,0.24285023,,,,
'Dropped' - possibly the lamest 'hip' verb in the shitlib lexicon.,0.42750368,0.448156,0.5647431,0.35057113,0.876051,0.13676748,0.13051014,0.18893826,,,,
"""Exactly. Libertarianism is so pathetic, it's like controlled opposition for dummies.""",0.7382047,0.40400535,0.9198224,0.30548763,0.42347932,0.115225784,0.14098439,0.22607258,,,,
"""Democrats really don't have a choice other than to attempt to impeach Trump...They have no single candidate that can compete with him in 2020 and the more this economy grows, the more challenging it will be to beat him.And they don't want their top leadership going to jail nor do they want to lose the SCOTUS for the next 4 decades.  They're so screwed which is why they act so desperate!""",0.43100753,0.28508872,0.6373647,0.38788697,0.39476508,0.07899011,0.47946897,0.19921316,,,,
Trump admits that he made the 'off the record' comments regarding the Canadian negotiations...And he doesn't care because he knows we have the stronger negotiating position.This changes nothing and sets the clear tone for what Canada has to do if they want to make a deal.,0.049898956,0.009377404,0.06256453,0.25319636,0.005369656,0.008366587,0.011214678,0.029535154,,,,
Do you need evidence that Progressives are intellectually superior to the rest of us?Here you go:  'Front Hole',0.32044756,0.12182812,0.3741542,0.27139804,0.19159971,0.102439344,0.212172,0.16478403,,,,
More insanity in Canada. https://www.theglobeandmail.com/opinion/article-on...,0.23014031,0.11868031,0.50966537,0.3756549,0.05771556,0.018879881,0.117930494,0.27640712,,,,
I went to college. When I first started college I was a Libertarian. When I left college I was a racist Libertarian who wanted to helicopter leftists.,0.38953075,0.2090149,0.363629,0.37191504,0.12217361,0.06564257,0.112246074,0.53127575,,,,
"""Twitter, Facebook and Google gave Chinese the technology to control mass populations. We are ignoring China, they are committing the largest abuse against mankind in our history. According to the guest on Tucker tonight there are millions in internment camps already.""",0.21109697,0.060668904,0.19042574,0.42071187,0.03371535,0.04375122,0.1628657,0.26509157,,,,
